pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
e---e	35	42	85	120	121	93	89	78	65	64	62	50	436
e---h	159	104	127	161	181	160	139	137	136	122	106	104	860
e---pt interaction	5223	2277	456	277	310	141	112	76	41	43	27	25	164
e---s	32	16	32	44	38	36	44	39	32	26	25	33	219
e---w	73	82	141	157	150	159	180	121	137	103	85	96	775
h---e	55	90	171	224	279	229	245	196	241	157	154	149	1353
h---h	81	171	325	286	269	285	254	211	207	130	128	126	1058
h---pt interaction	9806	4796	579	646	646	391	290	231	131	127	84	84	564
h---s	37	30	55	59	75	63	62	60	77	52	51	52	450
h---w	114	144	279	350	373	394	376	301	318	219	252	235	2078
pt interaction---e	4669	2126	709	459	380	191	116	83	47	42	36	23	193
pt interaction---h	8488	4161	755	746	757	478	345	286	135	118	103	102	618
pt interaction---pt interaction	42917	31087	20868	9478	3025	723	339	122	66	54	49	37	296
pt interaction---s	4185	1893	487	378	301	143	100	60	28	41	31	27	156
pt interaction---w	9902	4252	1241	894	754	407	234	152	80	85	70	53	393
s---e	5	6	18	18	26	17	25	10	12	12	14	17	73
s---h	214	130	157	157	187	166	161	134	152	114	106	102	988
s---pt interaction	4203	1655	314	259	214	94	65	39	23	26	33	22	79
s---s	22	9	51	37	43	53	47	52	44	34	34	39	258
s---w	27	27	62	61	59	54	52	54	46	39	28	26	289
w---e	36	70	113	123	139	135	112	92	109	80	71	84	567
w---h	346	234	309	339	355	341	336	320	308	223	254	194	2132
w---pt interaction	10589	4371	818	593	598	303	202	113	67	68	55	46	303
w---s	42	39	85	67	100	128	104	61	95	74	43	63	478
w---w	113	111	248	270	283	283	253	194	204	199	169	154	1261

average trip duration: 1101.1067514152348 seconds = 00:18:21
