pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
e---e	35	43	87	117	120	95	87	78	62	62	62	49	430
e---h	159	104	128	160	181	160	138	135	135	121	107	105	847
e---pt interaction	5209	2273	468	278	322	144	114	68	43	39	26	25	162
e---s	32	16	32	44	39	36	44	39	32	29	26	34	224
e---w	73	82	144	156	151	160	182	118	141	104	84	95	782
h---e	55	90	172	222	278	230	244	196	246	159	155	148	1368
h---h	81	172	326	288	269	287	257	211	207	128	127	127	1064
h---pt interaction	9756	4814	570	634	646	383	288	220	125	131	83	81	560
h---s	37	30	55	60	75	65	63	62	77	54	52	53	464
h---w	115	144	275	349	373	396	383	302	317	211	251	238	2106
pt interaction---e	4649	2114	704	455	392	198	113	81	48	42	37	22	187
pt interaction---h	8430	4149	764	740	760	478	344	282	137	116	95	101	611
pt interaction---pt interaction	42121	30742	20780	9439	3053	735	348	95	63	45	42	34	294
pt interaction---s	4146	1880	487	380	300	145	101	56	27	39	32	27	147
pt interaction---w	9858	4226	1239	894	753	408	230	147	77	85	62	54	388
s---e	5	6	18	17	28	17	25	10	14	12	14	17	75
s---h	215	130	157	156	186	168	157	137	153	115	107	102	999
s---pt interaction	4159	1646	325	251	209	99	63	41	21	26	33	20	80
s---s	22	9	51	38	43	55	47	51	45	34	34	39	267
s---w	27	27	62	60	61	54	54	53	47	39	29	27	298
w---e	35	70	114	122	140	136	111	94	108	79	71	85	578
w---h	346	234	313	339	356	338	334	318	306	225	254	194	2139
w---pt interaction	10532	4335	825	587	613	303	191	111	61	71	52	46	304
w---s	42	38	84	69	99	127	105	61	95	75	43	61	494
w---w	111	108	246	271	288	283	257	194	204	197	171	151	1281

average trip duration: 1114.8898812974521 seconds = 00:18:34
