pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
e---e	35	43	89	120	121	96	89	79	67	65	61	48	457
e---h	159	103	127	160	183	161	141	138	138	123	109	105	920
e---pt interaction	5114	2226	427	263	307	135	102	64	38	39	25	24	153
e---s	32	17	32	44	39	37	45	39	32	28	26	35	234
e---w	73	82	144	158	154	164	184	121	144	106	84	98	842
h---e	55	90	175	225	281	231	246	197	248	158	158	151	1435
h---h	81	172	327	288	266	291	259	209	207	131	131	129	1102
h---pt interaction	9663	4752	546	621	625	368	272	212	121	125	81	80	535
h---s	37	30	55	60	76	64	65	62	78	54	53	52	475
h---w	115	144	281	351	373	399	386	305	322	222	256	240	2205
pt interaction---e	4528	2093	687	445	384	198	109	76	48	41	31	21	171
pt interaction---h	8264	4090	720	710	744	461	326	272	120	114	96	94	569
pt interaction---pt interaction	40311	29723	20181	9186	3053	691	301	83	38	29	14	29	188
pt interaction---s	4088	1872	482	370	295	143	96	56	27	40	28	26	139
pt interaction---w	9627	4160	1218	886	740	406	217	133	75	80	60	45	359
s---e	5	6	18	18	28	17	24	10	12	12	14	19	78
s---h	214	130	156	157	186	168	160	137	157	115	106	103	1045
s---pt interaction	4110	1613	312	241	202	92	63	41	19	26	31	18	76
s---s	22	9	50	38	42	53	48	53	48	34	34	39	275
s---w	27	27	62	61	60	57	53	56	48	40	29	27	318
w---e	36	70	114	122	140	138	114	95	108	79	72	88	623
w---h	342	233	312	341	357	343	338	321	314	228	259	196	2282
w---pt interaction	10341	4245	786	572	567	291	181	99	57	64	51	39	282
w---s	42	39	86	69	101	127	105	60	98	76	44	67	517
w---w	112	111	248	273	291	286	260	200	208	201	176	160	1364

average trip duration: 1160.9546451367873 seconds = 00:19:20
