pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
e---e	36	43	84	119	118	95	87	75	62	63	62	47	415
e---h	158	104	127	159	182	159	136	137	137	118	107	103	848
e---pt interaction	5289	2295	459	279	325	139	115	68	39	45	28	24	158
e---s	32	16	32	42	38	37	43	39	31	27	26	33	219
e---w	72	82	141	157	150	156	182	118	139	101	81	97	755
h---e	55	89	168	222	280	229	242	195	240	155	156	145	1349
h---h	81	172	327	287	267	284	255	208	201	129	127	128	1047
h---pt interaction	9867	4807	578	639	657	393	300	220	129	130	88	87	546
h---s	37	30	55	60	75	63	64	62	76	49	52	53	458
h---w	113	143	278	346	373	393	380	300	312	214	250	236	2054
pt interaction---e	4722	2134	696	462	383	196	122	82	50	43	37	23	185
pt interaction---h	8573	4168	781	756	769	475	350	282	138	123	105	109	619
pt interaction---pt interaction	43731	31395	20952	9453	3072	739	328	103	47	50	45	42	247
pt interaction---s	4207	1902	492	377	292	137	104	59	28	40	31	27	147
pt interaction---w	9994	4263	1250	909	758	412	242	154	78	90	67	50	387
s---e	5	5	18	18	28	15	24	10	14	12	13	18	71
s---h	214	130	158	156	186	164	158	133	154	109	105	104	983
s---pt interaction	4245	1657	316	248	212	91	70	42	21	26	32	19	79
s---s	22	9	50	37	42	52	45	53	45	32	32	36	260
s---w	27	27	62	61	60	53	53	55	47	39	29	27	280
w---e	35	69	114	122	139	135	108	92	106	81	70	86	574
w---h	346	232	311	338	353	338	334	317	302	219	254	192	2078
w---pt interaction	10708	4383	826	604	591	296	199	115	64	73	53	49	315
w---s	42	37	85	68	98	126	102	61	97	74	42	60	476
w---w	111	109	246	266	280	282	253	193	190	197	172	151	1226

average trip duration: 1088.6061869674068 seconds = 00:18:08
