# Iteration [ ]	Operators [ ]	Operators IB [ ]	Routes [ ]	Routes IB [ ]	Pax served [ ]	Pax served by IB [ ]	Veh [ ]	Veh of IB [ ]	Avg. budget per operator [$]	Avg. budget per IB operator [$]	Avg. cash flow per route [$]	Avg. cash flow per route of IB [$]	Share of IB operators [%]	Share of IB routes [%]	Share of pax served by IB [%]	Share of veh served by IB [%]	Estimated mean of IB operators [ ]	Estimated SD of IB operators [ ]	Estimated mean of IB routes [ ]	Estimated SD of IB routes [ ]	Estimated mean of pax served by IB [ ]	Estimated SD of pax served by IB [ ]	Estimated mean of IB veh [ ]	Estimated SD of IB veh [ ]	Exact mean of IB operators [ ]	Exact SD of IB operators [ ]	Exact mean of IB routes [ ]	Exact SD of IB routes [ ]	Exact mean of pax served by IB [ ]	Exact SD of pax served by IB [ ]	Exact mean of IB veh [ ]	Exact SD of IB veh [ ]
0	10	8	10	8	1358	1344	47	37	5866.3679626896	7467.0557381324	5865.3679626896	7466.0557381324	80.0000000000	80.0000000000	98.9690721649	78.7234042553	8.0000000000	NaN	8.0000000000	NaN	1344.0000000000	NaN	37.0000000000	NaN	8.0000000000	NaN	8.0000000000	NaN	1344.0000000000	NaN	37.0000000000	NaN	
1	10	9	25	24	1786	1784	65	62	6957.4447364758	7737.7767679217	3048.4307095145	3191.2143413304	90.0000000000	96.0000000000	99.8880179171	95.3846153846	8.5000000000	0.7071067812	16.0000000000	11.3137084990	1564.0000000000	311.1269837221	49.5000000000	17.6776695297	8.5000000000	0.7071067812	16.0000000000	11.3137084990	1564.0000000000	311.1269837221	49.5000000000	17.6776695297	
2	10	9	50	49	2468	2466	106	104	8635.3051722892	9571.3442918355	2025.5720871627	2071.4715860250	90.0000000000	98.0000000000	99.9189627229	98.1132075472	8.6666666667	0.5773502692	27.0000000000	20.6639783198	1864.6666666667	565.3329402514	67.6666666667	33.8575447033	8.6666666667	0.5773502692	27.0000000000	20.6639783198	1864.6666666667	565.3329402514	67.6666666667	33.8575447033	
3	10	9	83	81	3193	3191	175	173	9861.2704003633	10953.7888268463	1476.6223166354	1515.3333433963	90.0000000000	97.5903614458	99.9373629815	98.8571428571	8.7500000000	0.5000000000	40.5000000000	31.8381322735	2196.2500000000	807.9960292807	94.0000000000	59.4810894319	8.7500000000	0.5000000000	40.5000000000	31.8381322735	2196.2500000000	807.9960292807	94.0000000000	59.4810894319	
4	10	9	105	103	3622	3620	248	246	9378.9390378601	10438.1260389935	1223.5874892854	1249.1168437799	90.0000000000	98.0952380952	99.9447818885	99.1935483871	8.8000000000	0.4472135955	53.0000000000	39.2619408588	2481.0000000000	946.0739928779	124.4000000000	85.2895069748	8.8000000000	0.4472135955	53.0000000000	39.2619408588	2481.0000000000	946.0739928779	124.4000000000	85.2895069748	
5	10	9	117	116	4033	4031	329	328	8738.1880486347	9678.2505243110	1117.0298299807	1127.2510376539	90.0000000000	99.1452991453	99.9504091247	99.6960486322	8.8333333333	0.4082482905	63.5000000000	43.5281518101	2739.3333333333	1056.6274020044	158.3333333333	112.8196200431	8.8333333333	0.4082482905	63.5000000000	43.5281518101	2739.3333333333	1056.6274020044	158.3333333333	112.8196200431	
6	10	9	135	134	4267	4265	401	400	7514.7826139895	8320.4397261645	939.0070048411	946.1171851991	90.0000000000	99.2592592593	99.9531286618	99.7506234414	8.8571428571	0.3779644730	73.5714285714	47.8429971987	2957.2857142857	1123.7914566748	192.8571428571	137.6595178589	8.8571428571	0.3779644730	73.5714285714	47.8429971987	2957.2857142857	1123.7914566748	192.8571428571	137.6595178589	
7	10	9	149	148	4375	4375	476	475	5868.4699706471	6503.8388195890	773.4018360173	779.3958908164	90.0000000000	99.3288590604	100.0000000000	99.7899159664	8.8750000000	0.3535533906	82.8750000000	51.5209735378	3134.5000000000	1154.8727821094	228.1250000000	161.8442262530	8.8750000000	0.3535533906	82.8750000000	51.5209735378	3134.5000000000	1154.8727821094	228.1250000000	161.8442262530	
8	10	9	170	169	4713	4713	557	556	5695.5101721297	6325.8211908215	671.0023647931	675.7268718408	90.0000000000	99.4117647059	100.0000000000	99.8204667864	8.8888888889	0.3333333333	92.4444444444	56.0961476198	3309.8888888889	1201.6097998565	264.5555555556	186.7191146556	8.8888888889	0.3333333333	92.4444444444	56.0961476198	3309.8888888889	1201.6097998565	264.5555555556	186.7191146556	
9	10	10	184	184	5010	5010	628	628	5085.1879141420	5085.1879141420	595.6346598920	595.6346598920	100.0000000000	100.0000000000	100.0000000000	100.0000000000	9.0000000000	0.4714045208	101.6000000000	60.2940940539	3479.9000000000	1253.9833819562	300.9000000000	210.2366127327	9.0000000000	0.4714045208	101.6000000000	60.2940940539	3479.9000000000	1253.9833819562	300.9000000000	210.2366127327	
10	11	10	189	188	5033	5033	682	681	3090.2607735128	3414.6407042431	502.8570865991	506.3538718139	90.9090909091	99.4708994709	100.0000000000	99.8533724340	9.1000000000	0.5142640687	110.2400000000	62.0406846485	3635.2100000000	1268.3640437605	338.9100000000	223.4219514595	9.0909090909	0.5393598900	109.4545454545	62.8527861536	3621.0909090909	1278.4797577236	335.4545454545	230.0297213998	
