pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
e---e	35	43	89	120	122	95	90	80	66	64	62	48	444
e---h	159	104	127	160	182	161	141	137	138	122	110	105	907
e---pt interaction	5138	2239	442	272	317	136	106	66	36	41	27	24	154
e---s	32	17	32	44	39	37	45	40	31	29	25	33	232
e---w	73	81	144	158	153	163	184	119	140	105	83	98	828
h---e	55	90	174	222	282	232	246	197	246	158	158	149	1417
h---h	81	172	327	288	267	289	259	210	206	130	130	130	1090
h---pt interaction	9684	4758	569	641	631	376	278	213	121	125	81	79	536
h---s	37	30	55	60	75	63	64	61	78	54	53	51	467
h---w	115	144	281	350	373	397	386	305	320	220	252	240	2176
pt interaction---e	4562	2108	691	450	383	197	112	79	47	43	33	20	178
pt interaction---h	8315	4109	737	726	745	468	332	276	124	112	96	96	587
pt interaction---pt interaction	40878	30088	20451	9276	3113	696	322	70	47	44	34	24	260
pt interaction---s	4101	1880	491	380	300	145	96	58	27	41	28	25	143
pt interaction---w	9678	4190	1235	890	747	415	226	139	75	80	61	43	368
s---e	5	6	18	18	28	17	25	10	11	12	14	19	78
s---h	215	130	157	156	187	168	161	137	155	115	107	103	1029
s---pt interaction	4128	1623	315	240	215	94	60	44	20	26	31	17	75
s---s	22	9	51	38	42	54	48	53	47	33	34	39	273
s---w	27	27	62	60	61	57	53	55	48	39	28	27	310
w---e	36	70	114	124	140	139	112	96	109	81	71	85	609
w---h	344	233	314	340	357	343	334	322	315	226	255	194	2246
w---pt interaction	10375	4277	808	588	574	304	186	104	59	66	52	40	291
w---s	42	37	85	70	101	128	103	61	95	75	44	66	508
w---w	113	111	250	273	291	286	259	198	206	204	174	156	1334

average trip duration: 1146.913651868837 seconds = 00:19:06
