Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
17	16:40:52	16:40:52	16:40:52	16:40:52	16:40:52	16:40:52			16:40:52	16:40:52	16:40:52	16:40:52	16:40:57	16:40:57	16:40:57	16:40:57	16:40:57	16:40:57			16:41:00	16:41:00		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:03	00:00:08
18	16:41:01	16:41:01	16:41:01	16:41:01	16:41:01	16:41:01			16:41:01	16:41:01	16:41:01	16:41:01	16:41:05	16:41:05	16:41:05	16:41:05	16:41:05	16:41:05			16:41:08	16:41:08		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:07
19	16:41:08	16:41:08	16:41:08	16:41:08	16:41:08	16:41:08			16:41:08	16:41:08	16:41:08	16:41:08	16:41:12	16:41:12	16:41:12	16:41:12	16:41:12	16:41:12			16:41:14	16:41:14		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:06
20	16:41:14	16:41:14	16:41:14	16:41:14	16:41:14	16:41:14			16:41:14	16:41:14	16:41:14	16:41:14	16:41:19	16:41:19	16:41:19	16:41:19	16:41:19	16:41:19	16:41:19	16:41:19	16:41:28	16:41:28		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00	00:00:00	00:00:09	00:00:14
21	16:41:28	16:41:28	16:41:28	16:41:28	16:41:28	16:41:28			16:41:28	16:41:28	16:41:28	16:41:28	16:41:32	16:41:32	16:41:32	16:41:32	16:41:32	16:41:32			16:41:35	16:41:35		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
22	16:41:35	16:41:35	16:41:35	16:41:35	16:41:35	16:41:35			16:41:35	16:41:35	16:41:35	16:41:35	16:41:39	16:41:39	16:41:39	16:41:39	16:41:39	16:41:39			16:41:41	16:41:41		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:05
23	16:41:41	16:41:41	16:41:41	16:41:41	16:41:41	16:41:41			16:41:41	16:41:41	16:41:41	16:41:41	16:41:45	16:41:45	16:41:45	16:41:45	16:41:45	16:41:45			16:41:47	16:41:47		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
24	16:41:47	16:41:47	16:41:48	16:41:48	16:41:48	16:41:48			16:41:48	16:41:48	16:41:48	16:41:48	16:41:52	16:41:52	16:41:52	16:41:52	16:41:52	16:41:52			16:41:56	16:41:56		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:04	00:00:08
25	16:41:56	16:41:56	16:41:56	16:41:56	16:41:56	16:41:56			16:41:56	16:41:56	16:41:57	16:41:57	16:42:01	16:42:01	16:42:01	16:42:01	16:42:01	16:42:01			16:42:02	16:42:02		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:05
26	16:42:02	16:42:02	16:42:02	16:42:02	16:42:02	16:42:02			16:42:02	16:42:02	16:42:02	16:42:02	16:42:06	16:42:06	16:42:06	16:42:06	16:42:06	16:42:06			16:42:07	16:42:07		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:05
27	16:42:07	16:42:07	16:42:07	16:42:07	16:42:08	16:42:08			16:42:08	16:42:08	16:42:09	16:42:09	16:42:13	16:42:13	16:42:13	16:42:13	16:42:13	16:42:13			16:42:15	16:42:15		00:00:00	00:00:00		00:00:00	00:00:01	00:00:04	00:00:00	00:00:00		00:00:01	00:00:07
