Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
75	16:47:46	16:47:46	16:47:46	16:47:46	16:47:46	16:47:46			16:47:46	16:47:46	16:47:46	16:47:46	16:47:50	16:47:50	16:47:50	16:47:50	16:47:50	16:47:50			16:47:52	16:47:52		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
76	16:47:53	16:47:53	16:47:53	16:47:53	16:47:53	16:47:53			16:47:53	16:47:53	16:47:53	16:47:53	16:47:57	16:47:57	16:47:57	16:47:57	16:47:57	16:47:57			16:48:00	16:48:00		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:07
77	16:48:00	16:48:00	16:48:00	16:48:00	16:48:00	16:48:00			16:48:00	16:48:00	16:48:00	16:48:00	16:48:05	16:48:05	16:48:05	16:48:05	16:48:05	16:48:05			16:48:07	16:48:07		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
78	16:48:07	16:48:07	16:48:07	16:48:07	16:48:07	16:48:07			16:48:07	16:48:07	16:48:07	16:48:07	16:48:11	16:48:11	16:48:11	16:48:11	16:48:11	16:48:11			16:48:14	16:48:14		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
79	16:48:14	16:48:14	16:48:14	16:48:14	16:48:14	16:48:14			16:48:14	16:48:14	16:48:14	16:48:14	16:48:18	16:48:18	16:48:18	16:48:18	16:48:18	16:48:18			16:48:20	16:48:20		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:06
80	16:48:20	16:48:20	16:48:20	16:48:20	16:48:20	16:48:20			16:48:20	16:48:20	16:48:20	16:48:20	16:48:25	16:48:25	16:48:25	16:48:25	16:48:25	16:48:25	16:48:25	16:48:25	16:48:36	16:48:36		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00	00:00:00	00:00:10	00:00:15
81	16:48:36	16:48:36	16:48:36	16:48:36	16:48:36	16:48:36			16:48:36	16:48:36	16:48:36	16:48:36	16:48:41	16:48:41	16:48:41	16:48:41	16:48:41	16:48:41			16:48:43	16:48:43		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
82	16:48:43	16:48:43	16:48:43	16:48:43	16:48:43	16:48:43			16:48:43	16:48:43	16:48:43	16:48:43	16:48:47	16:48:47	16:48:47	16:48:47	16:48:47	16:48:47			16:48:49	16:48:49		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:06
83	16:48:49	16:48:49	16:48:49	16:48:49	16:48:49	16:48:49			16:48:49	16:48:49	16:48:49	16:48:49	16:48:54	16:48:54	16:48:54	16:48:54	16:48:54	16:48:54			16:48:56	16:48:56		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
84	16:48:56	16:48:56	16:48:56	16:48:56	16:48:56	16:48:56			16:48:56	16:48:56	16:48:56	16:48:56	16:49:01	16:49:01	16:49:01	16:49:01	16:49:01	16:49:01			16:49:02	16:49:02		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:05
85	16:49:02	16:49:02	16:49:02	16:49:02	16:49:02	16:49:02			16:49:02	16:49:02	16:49:02	16:49:02	16:49:07	16:49:07	16:49:07	16:49:07	16:49:07	16:49:07			16:49:08	16:49:08		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:06
86	16:49:08	16:49:08	16:49:08	16:49:08	16:49:08	16:49:08			16:49:09	16:49:09	16:49:09	16:49:09	16:49:13	16:49:13	16:49:13	16:49:13	16:49:13	16:49:13			16:49:15	16:49:15		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
87	16:49:15	16:49:15	16:49:15	16:49:15	16:49:15	16:49:15			16:49:15	16:49:15	16:49:15	16:49:15	16:49:20	16:49:20	16:49:20	16:49:20	16:49:20	16:49:20			16:49:22	16:49:22		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:07
88	16:49:23	16:49:23	16:49:23	16:49:23	16:49:23	16:49:23			16:49:23	16:49:23	16:49:23	16:49:23	16:49:27	16:49:27	16:49:27	16:49:27	16:49:27	16:49:27			16:49:29	16:49:29		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:06
89	16:49:29	16:49:29	16:49:29	16:49:29	16:49:29	16:49:29			16:49:29	16:49:29	16:49:29	16:49:29	16:49:33	16:49:33	16:49:33	16:49:33	16:49:33	16:49:33			16:49:36	16:49:36		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:07
90	16:49:36	16:49:36	16:49:36	16:49:36	16:49:36	16:49:36			16:49:36	16:49:36	16:49:36	16:49:36	16:49:40	16:49:40	16:49:40	16:49:40	16:49:41	16:49:41	16:49:41	16:49:41	16:49:45	16:49:45		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00	00:00:00	00:00:04	00:00:08
91	16:49:45	16:49:45	16:49:45	16:49:45	16:49:45	16:49:45			16:49:45	16:49:45	16:49:45	16:49:45	16:49:49	16:49:49	16:49:49	16:49:49	16:49:49	16:49:49			16:49:50	16:49:50		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:01	00:00:04
92	16:49:50	16:49:50	16:49:50	16:49:50	16:49:50	16:49:50			16:49:50	16:49:50	16:49:50	16:49:50	16:49:54	16:49:54	16:49:54	16:49:54	16:49:54	16:49:54			16:49:55	16:49:55		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:05
93	16:49:56	16:49:56	16:49:56	16:49:56	16:49:56	16:49:56			16:49:56	16:49:56	16:49:56	16:49:56	16:50:00	16:50:00	16:50:00	16:50:00	16:50:00	16:50:00			16:50:02	16:50:02		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
94	16:50:02	16:50:02	16:50:03	16:50:03	16:50:03	16:50:03			16:50:03	16:50:03	16:50:03	16:50:03	16:50:09	16:50:09	16:50:09	16:50:09	16:50:10	16:50:10			16:50:12	16:50:12		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:02	00:00:09
95	16:50:12	16:50:12	16:50:12	16:50:12	16:50:12	16:50:12			16:50:12	16:50:12	16:50:12	16:50:12	16:50:19	16:50:19	16:50:19	16:50:19	16:50:19	16:50:19			16:50:21	16:50:21		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:02	00:00:09
96	16:50:21	16:50:21	16:50:21	16:50:21	16:50:21	16:50:21			16:50:21	16:50:21	16:50:21	16:50:21	16:50:27	16:50:27	16:50:27	16:50:27	16:50:27	16:50:27			16:50:29	16:50:29		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:02	00:00:08
97	16:50:29	16:50:29	16:50:29	16:50:29	16:50:29	16:50:29			16:50:29	16:50:29	16:50:31	16:50:31	16:50:36	16:50:36	16:50:36	16:50:36	16:50:36	16:50:36			16:50:37	16:50:37		00:00:00	00:00:00		00:00:00	00:00:01	00:00:04	00:00:00	00:00:00		00:00:01	00:00:07
98	16:50:37	16:50:37	16:50:37	16:50:37	16:50:37	16:50:37			16:50:37	16:50:37	16:50:37	16:50:37	16:50:41	16:50:41	16:50:41	16:50:41	16:50:41	16:50:41			16:50:43	16:50:43		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
99	16:50:43	16:50:43	16:50:44	16:50:44	16:50:44	16:50:44			16:50:44	16:50:44	16:50:44	16:50:44	16:50:48	16:50:48	16:50:48	16:50:48	16:50:48	16:50:48			16:50:50	16:50:50		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:06
100	16:50:50	16:50:50	16:50:50	16:50:50	16:50:50	16:50:50			16:50:50	16:50:50	16:50:50	16:50:50	16:50:55	16:50:55	16:50:55	16:50:55	16:50:55	16:50:55	16:50:55	16:50:55	16:51:05	16:51:05		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00	00:00:00	00:00:09	00:00:15
