pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
e---e	36	42	84	120	119	92	88	79	60	63	60	48	433
e---h	158	103	125	160	181	156	140	135	133	121	107	104	856
e---pt interaction	5257	2280	456	288	314	142	116	70	44	42	28	24	160
e---s	32	17	32	42	37	38	43	38	31	28	25	34	215
e---w	72	80	142	156	151	162	181	122	137	103	82	95	766
h---e	54	90	171	220	280	226	239	192	245	154	152	147	1354
h---h	81	172	326	286	265	285	255	210	203	127	129	127	1047
h---pt interaction	9836	4802	586	656	666	393	289	226	135	127	87	84	570
h---s	36	30	55	59	76	65	64	62	75	51	52	53	437
h---w	114	143	279	347	368	393	382	300	316	216	248	240	2052
pt interaction---e	4710	2140	692	460	393	189	115	85	49	45	38	20	187
pt interaction---h	8533	4172	784	772	753	489	343	283	134	122	103	99	630
pt interaction---pt interaction	43345	31407	20960	9469	3064	710	327	114	59	56	46	40	298
pt interaction---s	4178	1903	496	387	300	147	101	60	29	40	34	26	156
pt interaction---w	9942	4265	1251	906	762	420	245	155	76	85	67	52	402
s---e	5	5	18	17	27	16	24	10	13	11	12	19	72
s---h	215	129	157	156	188	168	162	135	154	112	105	101	985
s---pt interaction	4207	1672	327	259	205	95	69	40	23	29	32	19	81
s---s	22	9	51	37	42	54	47	51	47	31	34	37	259
s---w	27	27	62	59	58	54	52	56	47	39	28	25	282
w---e	36	70	114	124	136	136	111	93	108	81	68	87	559
w---h	346	235	312	340	355	334	333	319	309	220	250	194	2079
w---pt interaction	10689	4402	823	597	592	295	206	111	63	69	54	49	309
w---s	42	38	84	71	99	127	99	61	95	74	43	62	484
w---w	113	111	247	268	288	280	251	198	196	200	169	153	1221

average trip duration: 1091.9214171329156 seconds = 00:18:11
