Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
17	01:37:25	01:37:25	01:37:25	01:37:25	01:37:25	01:37:25			01:37:25	01:37:25	01:37:26	01:37:26	01:37:30	01:37:30	01:37:30	01:37:30	01:37:30	01:37:30			01:37:32	01:37:32		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
18	01:37:32	01:37:32	01:37:32	01:37:32	01:37:32	01:37:32			01:37:32	01:37:32	01:37:32	01:37:32	01:37:36	01:37:36	01:37:36	01:37:36	01:37:36	01:37:36			01:37:39	01:37:39		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:07
19	01:37:39	01:37:39	01:37:39	01:37:39	01:37:39	01:37:39			01:37:39	01:37:39	01:37:39	01:37:39	01:37:43	01:37:43	01:37:43	01:37:43	01:37:44	01:37:44			01:37:45	01:37:45		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:06
20	01:37:45	01:37:45	01:37:45	01:37:45	01:37:45	01:37:45			01:37:45	01:37:45	01:37:45	01:37:45	01:37:50	01:37:50	01:37:50	01:37:50	01:37:50	01:37:50	01:37:50	01:37:50	01:38:01	01:38:01		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00	00:00:00	00:00:10	00:00:15
21	01:38:01	01:38:01	01:38:01	01:38:01	01:38:01	01:38:01			01:38:01	01:38:01	01:38:01	01:38:01	01:38:05	01:38:05	01:38:05	01:38:05	01:38:05	01:38:05			01:38:07	01:38:07		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
22	01:38:07	01:38:07	01:38:07	01:38:07	01:38:07	01:38:07			01:38:07	01:38:07	01:38:08	01:38:08	01:38:12	01:38:12	01:38:12	01:38:12	01:38:12	01:38:12			01:38:14	01:38:14		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:06
23	01:38:14	01:38:14	01:38:14	01:38:14	01:38:14	01:38:14			01:38:14	01:38:14	01:38:14	01:38:14	01:38:19	01:38:19	01:38:19	01:38:19	01:38:19	01:38:19			01:38:21	01:38:21		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
24	01:38:21	01:38:21	01:38:21	01:38:21	01:38:21	01:38:21			01:38:21	01:38:21	01:38:21	01:38:21	01:38:25	01:38:25	01:38:25	01:38:25	01:38:25	01:38:25			01:38:29	01:38:29		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:04	00:00:08
25	01:38:30	01:38:30	01:38:30	01:38:30	01:38:30	01:38:30			01:38:30	01:38:30	01:38:30	01:38:30	01:38:34	01:38:34	01:38:34	01:38:34	01:38:34	01:38:34			01:38:35	01:38:35		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:05
26	01:38:36	01:38:36	01:38:36	01:38:36	01:38:36	01:38:36			01:38:36	01:38:36	01:38:36	01:38:36	01:38:40	01:38:40	01:38:40	01:38:40	01:38:40	01:38:40			01:38:41	01:38:41		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:05
27	01:38:41	01:38:41	01:38:41	01:38:41	01:38:41	01:38:41			01:38:41	01:38:41	01:38:42	01:38:42	01:38:46	01:38:46	01:38:46	01:38:46	01:38:46	01:38:46			01:38:48	01:38:48		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:06
28	01:38:48	01:38:48	01:38:48	01:38:48	01:38:48	01:38:48			01:38:48	01:38:48	01:38:48	01:38:48	01:38:54	01:38:54	01:38:54	01:38:54	01:38:54	01:38:54			01:38:55	01:38:55		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:01	00:00:07
29	01:38:55	01:38:55	01:38:55	01:38:55	01:38:55	01:38:55			01:38:55	01:38:55	01:38:55	01:38:55	01:39:00	01:39:00	01:39:00	01:39:00	01:39:00	01:39:00			01:39:02	01:39:02		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:01	00:00:06
30	01:39:02	01:39:02	01:39:02	01:39:02	01:39:02	01:39:02			01:39:02	01:39:02	01:39:02	01:39:02	01:39:06	01:39:06	01:39:06	01:39:06	01:39:06	01:39:06	01:39:06	01:39:06	01:39:11	01:39:11		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00	00:00:00	00:00:04	00:00:08
31	01:39:11	01:39:11	01:39:11	01:39:11	01:39:11	01:39:11			01:39:11	01:39:11	01:39:11	01:39:11	01:39:14	01:39:14	01:39:14	01:39:14	01:39:14	01:39:14			01:39:18	01:39:18		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:03	00:00:06
32	01:39:18	01:39:18	01:39:18	01:39:18	01:39:18	01:39:18			01:39:18	01:39:18	01:39:18	01:39:18	01:39:22	01:39:22	01:39:22	01:39:22	01:39:22	01:39:22			01:39:23	01:39:23		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:01	00:00:05
33	01:39:23	01:39:23	01:39:23	01:39:23	01:39:23	01:39:23			01:39:23	01:39:23	01:39:23	01:39:23	01:39:28	01:39:28	01:39:28	01:39:28	01:39:28	01:39:28			01:39:29	01:39:29		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:05
34	01:39:29	01:39:29	01:39:29	01:39:29	01:39:29	01:39:29			01:39:29	01:39:29	01:39:29	01:39:29	01:39:33	01:39:33	01:39:33	01:39:33	01:39:33	01:39:33			01:39:34	01:39:34		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:01	00:00:04
35	01:39:34	01:39:34	01:39:34	01:39:34	01:39:34	01:39:34			01:39:34	01:39:34	01:39:34	01:39:34	01:39:38	01:39:38	01:39:38	01:39:38	01:39:38	01:39:38			01:39:39	01:39:39		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:05
36	01:39:40	01:39:40	01:39:40	01:39:40	01:39:40	01:39:40			01:39:40	01:39:40	01:39:40	01:39:40	01:39:44	01:39:44	01:39:44	01:39:44	01:39:44	01:39:44			01:39:46	01:39:46		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:02	00:00:06
37	01:39:46	01:39:46	01:39:46	01:39:46	01:39:46	01:39:46			01:39:46	01:39:46	01:39:46	01:39:46	01:39:50	01:39:50	01:39:50	01:39:50	01:39:50	01:39:50			01:39:55	01:39:55		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:04	00:00:08
38	01:39:55	01:39:55	01:39:55	01:39:55	01:39:55	01:39:55			01:39:55	01:39:55	01:39:55	01:39:55	01:39:59	01:39:59	01:39:59	01:39:59	01:39:59	01:39:59			01:40:01	01:40:01		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
39	01:40:01	01:40:01	01:40:01	01:40:01	01:40:01	01:40:01			01:40:02	01:40:02	01:40:02	01:40:02	01:40:06	01:40:06	01:40:06	01:40:06	01:40:06	01:40:06			01:40:08	01:40:08		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:06
40	01:40:08	01:40:08	01:40:08	01:40:08	01:40:08	01:40:08			01:40:08	01:40:08	01:40:08	01:40:08	01:40:14	01:40:14	01:40:14	01:40:14	01:40:14	01:40:14	01:40:14	01:40:14	01:40:23	01:40:23		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00	00:00:00	00:00:09	00:00:15
41	01:40:23	01:40:23	01:40:23	01:40:23	01:40:23	01:40:23			01:40:23	01:40:23	01:40:23	01:40:23	01:40:27	01:40:27	01:40:27	01:40:27	01:40:27	01:40:27			01:40:29	01:40:29		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
42	01:40:29	01:40:29	01:40:29	01:40:29	01:40:29	01:40:29			01:40:30	01:40:30	01:40:30	01:40:30	01:40:34	01:40:34	01:40:34	01:40:34	01:40:34	01:40:34			01:40:35	01:40:35		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:05
43	01:40:35	01:40:35	01:40:35	01:40:35	01:40:35	01:40:35			01:40:35	01:40:35	01:40:36	01:40:36	01:40:40	01:40:40	01:40:40	01:40:40	01:40:40	01:40:40			01:40:42	01:40:42		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
