Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
72	01:44:05	01:44:05	01:44:05	01:44:05	01:44:06	01:44:06			01:44:06	01:44:06	01:44:06	01:44:06	01:44:10	01:44:10	01:44:10	01:44:10	01:44:10	01:44:10			01:44:13	01:44:13		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:07
73	01:44:13	01:44:13	01:44:13	01:44:13	01:44:13	01:44:13			01:44:13	01:44:13	01:44:13	01:44:13	01:44:18	01:44:18	01:44:18	01:44:18	01:44:18	01:44:18			01:44:19	01:44:19		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:05
74	01:44:19	01:44:19	01:44:19	01:44:19	01:44:19	01:44:19			01:44:19	01:44:19	01:44:19	01:44:19	01:44:25	01:44:25	01:44:25	01:44:25	01:44:25	01:44:25			01:44:27	01:44:27		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:01	00:00:08
75	01:44:27	01:44:27	01:44:27	01:44:27	01:44:27	01:44:27			01:44:27	01:44:27	01:44:27	01:44:27	01:44:32	01:44:32	01:44:32	01:44:32	01:44:32	01:44:32			01:44:34	01:44:34		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
76	01:44:34	01:44:34	01:44:34	01:44:34	01:44:34	01:44:34			01:44:34	01:44:34	01:44:34	01:44:34	01:44:38	01:44:38	01:44:38	01:44:38	01:44:38	01:44:38			01:44:41	01:44:41		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:07
77	01:44:41	01:44:41	01:44:41	01:44:41	01:44:41	01:44:41			01:44:41	01:44:41	01:44:41	01:44:41	01:44:46	01:44:46	01:44:46	01:44:46	01:44:46	01:44:46			01:44:48	01:44:48		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
78	01:44:48	01:44:48	01:44:48	01:44:48	01:44:48	01:44:48			01:44:48	01:44:48	01:44:48	01:44:48	01:44:52	01:44:52	01:44:52	01:44:52	01:44:52	01:44:52			01:44:54	01:44:54		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
79	01:44:55	01:44:55	01:44:55	01:44:55	01:44:55	01:44:55			01:44:55	01:44:55	01:44:55	01:44:55	01:44:59	01:44:59	01:44:59	01:44:59	01:44:59	01:44:59			01:45:01	01:45:01		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:06
80	01:45:01	01:45:01	01:45:01	01:45:01	01:45:01	01:45:01			01:45:01	01:45:01	01:45:01	01:45:01	01:45:06	01:45:06	01:45:06	01:45:06	01:45:06	01:45:06	01:45:06	01:45:06	01:45:16	01:45:16		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00	00:00:00	00:00:09	00:00:14
81	01:45:16	01:45:16	01:45:16	01:45:16	01:45:16	01:45:16			01:45:16	01:45:16	01:45:16	01:45:16	01:45:20	01:45:20	01:45:20	01:45:20	01:45:20	01:45:20			01:45:22	01:45:22		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
82	01:45:22	01:45:22	01:45:23	01:45:23	01:45:23	01:45:23			01:45:23	01:45:23	01:45:23	01:45:23	01:45:28	01:45:28	01:45:28	01:45:28	01:45:28	01:45:28			01:45:30	01:45:30		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:02	00:00:07
83	01:45:30	01:45:30	01:45:30	01:45:30	01:45:30	01:45:30			01:45:30	01:45:30	01:45:30	01:45:30	01:45:35	01:45:35	01:45:35	01:45:35	01:45:35	01:45:35			01:45:37	01:45:37		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:06
84	01:45:37	01:45:37	01:45:37	01:45:37	01:45:37	01:45:37			01:45:37	01:45:37	01:45:37	01:45:37	01:45:41	01:45:41	01:45:41	01:45:41	01:45:41	01:45:41			01:45:43	01:45:43		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:05
85	01:45:43	01:45:43	01:45:43	01:45:43	01:45:43	01:45:43			01:45:43	01:45:43	01:45:43	01:45:43	01:45:49	01:45:49	01:45:49	01:45:49	01:45:49	01:45:49			01:45:50	01:45:50		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:01	00:00:07
86	01:45:51	01:45:51	01:45:51	01:45:51	01:45:51	01:45:51			01:45:51	01:45:51	01:45:51	01:45:51	01:45:55	01:45:55	01:45:55	01:45:55	01:45:55	01:45:55			01:45:57	01:45:57		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
87	01:45:57	01:45:57	01:45:57	01:45:57	01:45:57	01:45:57			01:45:57	01:45:57	01:45:57	01:45:57	01:46:01	01:46:01	01:46:01	01:46:01	01:46:01	01:46:01			01:46:04	01:46:04		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
88	01:46:04	01:46:04	01:46:04	01:46:04	01:46:04	01:46:04			01:46:04	01:46:04	01:46:04	01:46:04	01:46:08	01:46:08	01:46:08	01:46:08	01:46:08	01:46:08			01:46:10	01:46:10		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:06
89	01:46:10	01:46:10	01:46:10	01:46:10	01:46:10	01:46:10			01:46:10	01:46:10	01:46:10	01:46:10	01:46:14	01:46:14	01:46:14	01:46:14	01:46:14	01:46:14			01:46:17	01:46:17		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:07
90	01:46:18	01:46:18	01:46:18	01:46:18	01:46:18	01:46:18			01:46:18	01:46:18	01:46:18	01:46:18	01:46:22	01:46:22	01:46:22	01:46:22	01:46:23	01:46:23	01:46:23	01:46:23	01:46:27	01:46:27		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00	00:00:00	00:00:04	00:00:09
91	01:46:27	01:46:27	01:46:27	01:46:27	01:46:27	01:46:27			01:46:27	01:46:27	01:46:27	01:46:27	01:46:31	01:46:31	01:46:31	01:46:31	01:46:31	01:46:31			01:46:32	01:46:32		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
92	01:46:32	01:46:32	01:46:32	01:46:32	01:46:32	01:46:32			01:46:32	01:46:32	01:46:32	01:46:32	01:46:37	01:46:37	01:46:37	01:46:37	01:46:37	01:46:37			01:46:38	01:46:38		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:05
93	01:46:38	01:46:38	01:46:38	01:46:38	01:46:38	01:46:38			01:46:38	01:46:38	01:46:38	01:46:38	01:46:42	01:46:42	01:46:42	01:46:42	01:46:42	01:46:42			01:46:44	01:46:44		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
94	01:46:45	01:46:45	01:46:45	01:46:45	01:46:45	01:46:45			01:46:45	01:46:45	01:46:45	01:46:45	01:46:49	01:46:49	01:46:49	01:46:49	01:46:49	01:46:49			01:46:51	01:46:51		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
95	01:46:52	01:46:52	01:46:52	01:46:52	01:46:52	01:46:52			01:46:52	01:46:52	01:46:52	01:46:52	01:46:56	01:46:56	01:46:56	01:46:56	01:46:56	01:46:56			01:46:58	01:46:58		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
96	01:46:58	01:46:58	01:46:58	01:46:58	01:46:58	01:46:58			01:46:58	01:46:58	01:46:58	01:46:58	01:47:03	01:47:03	01:47:03	01:47:03	01:47:03	01:47:03			01:47:07	01:47:07		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:04	00:00:09
97	01:47:07	01:47:07	01:47:07	01:47:07	01:47:07	01:47:07			01:47:08	01:47:08	01:47:08	01:47:08	01:47:12	01:47:12	01:47:12	01:47:12	01:47:12	01:47:12			01:47:13	01:47:13		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:05
98	01:47:13	01:47:13	01:47:13	01:47:13	01:47:13	01:47:13			01:47:13	01:47:13	01:47:13	01:47:13	01:47:17	01:47:17	01:47:17	01:47:17	01:47:17	01:47:17			01:47:19	01:47:19		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:02	00:00:06
99	01:47:19	01:47:19	01:47:19	01:47:19	01:47:19	01:47:19			01:47:19	01:47:19	01:47:19	01:47:19	01:47:24	01:47:24	01:47:24	01:47:24	01:47:24	01:47:24			01:47:25	01:47:25		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:06
100	01:47:26	01:47:26	01:47:26	01:47:26	01:47:26	01:47:26			01:47:26	01:47:26	01:47:26	01:47:26	01:47:32	01:47:32	01:47:32	01:47:32	01:47:32	01:47:32	01:47:32	01:47:32	01:47:41	01:47:41		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00	00:00:00	00:00:09	00:00:15
