# iteration	operator	status	plan id	creator	parent	vehicle	pax	score	budget	start time	end time	important stops	links
32	para_31_54	PROSPECTING	=====	=====	=====	2	0	-328.09657028438636	100.69150623219758	=====	=====	=====	=====
32	para_31_55	PROSPECTING	31_0	CreateNewPlan	none	2	0	-314.62226000587424	116.20367793831616	13:00:00	23:45:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
32	para_31_55	PROSPECTING	=====	=====	=====	2	0	-314.62226000587424	116.20367793831616	=====	=====	=====	=====
32	para_31_56	PROSPECTING	31_0	CreateNewPlan	none	3	0	-396.7005182345189	-321.57581731434186	14:30:00	21:15:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
32	para_31_56	PROSPECTING	=====	=====	=====	3	0	-396.7005182345189	-321.57581731434186	=====	=====	=====	=====
32	para_31_57	PROSPECTING	31_0	CreateNewPlan	none	3	0	-349.3671279335999	-158.50796187560303	18:00:00	22:00:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
32	para_31_57	PROSPECTING	=====	=====	=====	3	0	-349.3671279335999	-158.50796187560303	=====	=====	=====	=====
32	para_32_58	PROSPECTING	32_0	CreateNewPlan	none	5	0	-769.809664524369	-768.809664524369	16:00:00	23:15:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
32	para_32_58	PROSPECTING	=====	=====	=====	5	0	-769.809664524369	-768.809664524369	=====	=====	=====	=====
33	para_29_50	PROSPECTING	33_0	WeightedStartTimeExtension	29_0	1	0	-159.44339314929752	194.36971679311924	17:00:00	23:45:00	[para_317944867_0, para_317944867_0_r]	[317944867_0, 317944867_0_r, 317944867_0]
33	para_29_50	PROSPECTING	=====	=====	=====	1	0	-159.44339314929752	194.36971679311924	=====	=====	=====	=====
33	para_30_51	PROSPECTING	30_0	CreateNewPlan	none	1	0	-127.7327624890531	-61.935158925027906	05:15:00	09:15:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
33	para_30_51	PROSPECTING	33_0	WeightedStartTimeExtension	30_0	1	0	-157.55886115981687	-61.935158925027906	01:00:00	09:15:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
33	para_30_51	PROSPECTING	=====	=====	=====	2	0	-285.29162364887	-61.935158925027906	=====	=====	=====	=====
33	para_30_52	PROSPECTING	30_0	CreateNewPlan	none	1	0	-103.70687308890942	66.12798734050719	22:00:00	22:30:00	[para_317944867_0, para_317944867_0_r]	[317944867_0, 317944867_0_r, 317944867_0]
33	para_30_52	PROSPECTING	33_1	WeightedEndTimeExtension	30_0	1	0	-106.19662289414902	66.12798734050719	22:00:00	22:45:00	[para_317944867_0, para_317944867_0_r]	[317944867_0, 317944867_0_r, 317944867_0]
33	para_30_52	PROSPECTING	=====	=====	=====	2	0	-209.90349598305843	66.12798734050719	=====	=====	=====	=====
