Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
15	14:03:01	14:03:01	14:03:02	14:03:02	14:03:02	14:03:02			14:03:02	14:03:02	14:03:02	14:03:02	14:03:06	14:03:06	14:03:06	14:03:06	14:03:06	14:03:06			14:03:13	14:03:13		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:06	00:00:11
16	14:03:13	14:03:13	14:03:13	14:03:13	14:03:13	14:03:13			14:03:13	14:03:13	14:03:13	14:03:13	14:03:21	14:03:21	14:03:21	14:03:21	14:03:21	14:03:21			14:03:27	14:03:27		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:05	00:00:13
17	14:03:27	14:03:27	14:03:27	14:03:27	14:03:27	14:03:27			14:03:27	14:03:27	14:03:27	14:03:27	14:03:34	14:03:34	14:03:34	14:03:34	14:03:34	14:03:34			14:03:38	14:03:38		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:03	00:00:11
18	14:03:38	14:03:38	14:03:38	14:03:38	14:03:38	14:03:38			14:03:38	14:03:38	14:03:38	14:03:38	14:03:44	14:03:44	14:03:44	14:03:44	14:03:44	14:03:44			14:03:46	14:03:46		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:01	00:00:08
19	14:03:46	14:03:46	14:03:47	14:03:47	14:03:47	14:03:47			14:03:47	14:03:47	14:03:47	14:03:47	14:03:52	14:03:52	14:03:52	14:03:52	14:03:52	14:03:52			14:03:56	14:03:56		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:04	00:00:09
20	14:03:56	14:03:56	14:03:57	14:03:57	14:03:57	14:03:57			14:03:57	14:03:57	14:03:57	14:03:57	14:04:03	14:04:03	14:04:03	14:04:03	14:04:03	14:04:03	14:04:03	14:04:03	14:04:22	14:04:22		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00	00:00:00	00:00:19	00:00:26
21	14:04:22	14:04:22	14:04:23	14:04:23	14:04:23	14:04:23			14:04:23	14:04:23	14:04:23	14:04:23	14:04:28	14:04:28	14:04:28	14:04:28	14:04:28	14:04:28			14:04:32	14:04:32		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:04	00:00:09
22	14:04:32	14:04:32	14:04:32	14:04:32	14:04:32	14:04:32			14:04:32	14:04:32	14:04:33	14:04:33	14:04:37	14:04:37	14:04:37	14:04:37	14:04:37	14:04:37			14:04:40	14:04:40		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:07
23	14:04:40	14:04:40	14:04:40	14:04:40	14:04:40	14:04:40			14:04:40	14:04:40	14:04:41	14:04:41	14:04:45	14:04:45	14:04:45	14:04:45	14:04:45	14:04:45			14:04:50	14:04:50		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:04	00:00:09
24	14:04:50	14:04:50	14:04:50	14:04:50	14:04:50	14:04:50			14:04:50	14:04:50	14:04:50	14:04:50	14:04:55	14:04:55	14:04:55	14:04:55	14:04:55	14:04:55			14:05:02	14:05:02		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:07	00:00:12
25	14:05:02	14:05:02	14:05:03	14:05:03	14:05:03	14:05:03			14:05:03	14:05:03	14:05:03	14:05:03	14:05:08	14:05:08	14:05:08	14:05:08	14:05:08	14:05:08			14:05:12	14:05:12		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:04	00:00:09
26	14:05:12	14:05:12	14:05:13	14:05:13	14:05:13	14:05:13			14:05:13	14:05:13	14:05:13	14:05:13	14:05:18	14:05:18	14:05:18	14:05:18	14:05:18	14:05:18			14:05:21	14:05:21		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:03	00:00:08
27	14:05:21	14:05:21	14:05:21	14:05:21	14:05:21	14:05:21			14:05:22	14:05:22	14:05:22	14:05:22	14:05:28	14:05:28	14:05:28	14:05:28	14:05:28	14:05:28			14:05:34	14:05:34		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:05	00:00:12
28	14:05:34	14:05:34	14:05:34	14:05:34	14:05:34	14:05:34			14:05:34	14:05:34	14:05:34	14:05:34	14:05:42	14:05:42	14:05:42	14:05:42	14:05:42	14:05:42			14:05:45	14:05:45		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:02	00:00:11
29	14:05:45	14:05:45	14:05:46	14:05:46	14:05:46	14:05:46			14:05:46	14:05:46	14:05:46	14:05:46	14:05:51	14:05:51	14:05:51	14:05:51	14:05:51	14:05:51			14:05:54	14:05:54		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:03	00:00:09
30	14:05:55	14:05:55	14:05:55	14:05:55	14:05:55	14:05:55			14:05:55	14:05:55	14:05:55	14:05:55	14:05:59	14:05:59	14:05:59	14:05:59	14:05:59	14:05:59	14:05:59	14:05:59	14:06:04	14:06:04		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00	00:00:00	00:00:04	00:00:09
31	14:06:04	14:06:04	14:06:04	14:06:04	14:06:04	14:06:04			14:06:04	14:06:04	14:06:04	14:06:04	14:06:09	14:06:09	14:06:09	14:06:09	14:06:09	14:06:09			14:06:12	14:06:12		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:03	00:00:08
32	14:06:12	14:06:12	14:06:13	14:06:13	14:06:13	14:06:13			14:06:13	14:06:13	14:06:13	14:06:13	14:06:17	14:06:17	14:06:17	14:06:17	14:06:17	14:06:17			14:06:23	14:06:23		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:05	00:00:10
33	14:06:23	14:06:23	14:06:23	14:06:23	14:06:23	14:06:23			14:06:23	14:06:23	14:06:23	14:06:23	14:06:28	14:06:28	14:06:28	14:06:28	14:06:28	14:06:28			14:06:31	14:06:31		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:03	00:00:08
34	14:06:31	14:06:31	14:06:31	14:06:31	14:06:31	14:06:31			14:06:32	14:06:32	14:06:32	14:06:32	14:06:37	14:06:37	14:06:37	14:06:37	14:06:37	14:06:37			14:06:43	14:06:43		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:06	00:00:11
35	14:06:43	14:06:43	14:06:44	14:06:44	14:06:44	14:06:44			14:06:44	14:06:44	14:06:44	14:06:44	14:06:48	14:06:48	14:06:48	14:06:48	14:06:48	14:06:48			14:06:53	14:06:53		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:04	00:00:10
36	14:06:53	14:06:53	14:06:54	14:06:54	14:06:54	14:06:54			14:06:54	14:06:54	14:06:54	14:06:54	14:07:00	14:07:00	14:07:00	14:07:00	14:07:00	14:07:00			14:07:06	14:07:06		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:05	00:00:12
37	14:07:06	14:07:06	14:07:07	14:07:07	14:07:07	14:07:07			14:07:07	14:07:07	14:07:07	14:07:07	14:07:12	14:07:12	14:07:12	14:07:12	14:07:12	14:07:12			14:07:15	14:07:15		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:03	00:00:09
38	14:07:16	14:07:16	14:07:16	14:07:16	14:07:16	14:07:16			14:07:16	14:07:16	14:07:16	14:07:16	14:07:23	14:07:23	14:07:23	14:07:23	14:07:23	14:07:23			14:07:27	14:07:27		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:03	00:00:11
39	14:07:27	14:07:27	14:07:27	14:07:27	14:07:27	14:07:27			14:07:27	14:07:27	14:07:27	14:07:27	14:07:32	14:07:32	14:07:32	14:07:32	14:07:32	14:07:32			14:07:37	14:07:37		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:04	00:00:10
40	14:07:37	14:07:37	14:07:38	14:07:38	14:07:38	14:07:38			14:07:38	14:07:38	14:07:38	14:07:38	14:07:44	14:07:44	14:07:44	14:07:44	14:07:44	14:07:44	14:07:44	14:07:44	14:08:02	14:08:02		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00	00:00:00	00:00:18	00:00:25
41	14:08:03	14:08:03	14:08:03	14:08:03	14:08:03	14:08:03			14:08:03	14:08:03	14:08:03	14:08:03	14:08:08	14:08:08	14:08:08	14:08:08	14:08:08	14:08:08			14:08:11	14:08:11		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:02	00:00:08
42	14:08:11	14:08:11	14:08:12	14:08:12	14:08:12	14:08:12			14:08:12	14:08:12	14:08:12	14:08:12	14:08:16	14:08:16	14:08:16	14:08:16	14:08:16	14:08:16			14:08:21	14:08:21		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:04	00:00:10
43	14:08:22	14:08:22	14:08:24	14:08:24	14:08:24	14:08:24			14:08:24	14:08:24	14:08:24	14:08:24	14:08:29	14:08:29	14:08:29	14:08:29	14:08:29	14:08:29			14:08:33	14:08:33		00:00:02	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:03	00:00:11
44	14:08:33	14:08:33	14:08:33	14:08:33	14:08:33	14:08:33			14:08:33	14:08:33	14:08:34	14:08:34	14:08:39	14:08:39	14:08:39	14:08:39	14:08:39	14:08:39			14:08:41	14:08:41		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:08
45	14:08:42	14:08:42	14:08:42	14:08:42	14:08:42	14:08:42			14:08:42	14:08:42	14:08:42	14:08:42	14:08:47	14:08:47	14:08:47	14:08:47	14:08:47	14:08:47			14:08:50	14:08:50		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:08
46	14:08:50	14:08:50	14:08:50	14:08:50	14:08:50	14:08:50			14:08:50	14:08:50	14:08:50	14:08:50	14:08:55	14:08:55	14:08:55	14:08:55	14:08:55	14:08:55			14:09:00	14:09:00		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:04	00:00:10
47	14:09:00	14:09:00	14:09:01	14:09:01	14:09:01	14:09:01			14:09:01	14:09:01	14:09:01	14:09:01	14:09:06	14:09:06	14:09:06	14:09:06	14:09:06	14:09:06			14:09:09	14:09:09		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:03	00:00:09
48	14:09:09	14:09:09	14:09:10	14:09:10	14:09:10	14:09:10			14:09:10	14:09:10	14:09:10	14:09:10	14:09:15	14:09:15	14:09:15	14:09:15	14:09:15	14:09:15			14:09:20	14:09:20		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:04	00:00:10
49	14:09:20	14:09:20	14:09:21	14:09:21	14:09:21	14:09:21			14:09:21	14:09:21	14:09:21	14:09:21	14:09:28	14:09:28	14:09:28	14:09:28	14:09:28	14:09:28			14:09:33	14:09:33		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:04	00:00:12
50	14:09:33	14:09:33	14:09:33	14:09:33	14:09:33	14:09:33			14:09:33	14:09:33	14:09:33	14:09:33	14:09:38	14:09:38	14:09:38	14:09:38	14:09:38	14:09:38	14:09:38	14:09:38	14:09:43	14:09:43		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00	00:00:00	00:00:05	00:00:10
51	14:09:43	14:09:43	14:09:44	14:09:44	14:09:44	14:09:44			14:09:44	14:09:44	14:09:44	14:09:44	14:09:49	14:09:49	14:09:49	14:09:49	14:09:49	14:09:49			14:09:51	14:09:51		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:01	00:00:07
52	14:09:51	14:09:51	14:09:51	14:09:51	14:09:51	14:09:51			14:09:51	14:09:51	14:09:51	14:09:51	14:09:57	14:09:57	14:09:57	14:09:57	14:09:57	14:09:57			14:10:02	14:10:02		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:04	00:00:10
53	14:10:02	14:10:02	14:10:02	14:10:02	14:10:02	14:10:02			14:10:02	14:10:02	14:10:02	14:10:02	14:10:09	14:10:09	14:10:09	14:10:09	14:10:09	14:10:09			14:10:15	14:10:15		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:06	00:00:13
54	14:10:15	14:10:15	14:10:16	14:10:16	14:10:16	14:10:16			14:10:16	14:10:16	14:10:16	14:10:16	14:10:21	14:10:21	14:10:21	14:10:21	14:10:21	14:10:21			14:10:25	14:10:25		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:03	00:00:09
55	14:10:25	14:10:25	14:10:26	14:10:26	14:10:26	14:10:26			14:10:26	14:10:26	14:10:26	14:10:26	14:10:31	14:10:31	14:10:31	14:10:31	14:10:31	14:10:31			14:10:34	14:10:34		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:02	00:00:08
56	14:10:34	14:10:34	14:10:34	14:10:34	14:10:34	14:10:34			14:10:34	14:10:34	14:10:34	14:10:34	14:10:39	14:10:39	14:10:39	14:10:39	14:10:39	14:10:39			14:10:44	14:10:44		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:05	00:00:10
57	14:10:44	14:10:44	14:10:45	14:10:45	14:10:45	14:10:45			14:10:45	14:10:45	14:10:45	14:10:45	14:10:49	14:10:49	14:10:49	14:10:49	14:10:49	14:10:49			14:10:55	14:10:55		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:05	00:00:10
58	14:10:55	14:10:55	14:10:56	14:10:56	14:10:56	14:10:56			14:10:56	14:10:56	14:10:56	14:10:56	14:11:01	14:11:01	14:11:01	14:11:01	14:11:01	14:11:01			14:11:04	14:11:04		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:03	00:00:08
59	14:11:04	14:11:04	14:11:05	14:11:05	14:11:05	14:11:05			14:11:05	14:11:05	14:11:05	14:11:05	14:11:09	14:11:09	14:11:09	14:11:09	14:11:09	14:11:09			14:11:12	14:11:12		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:03	00:00:08
60	14:11:13	14:11:13	14:11:13	14:11:13	14:11:13	14:11:13			14:11:13	14:11:13	14:11:13	14:11:13	14:11:18	14:11:18	14:11:18	14:11:18	14:11:18	14:11:18	14:11:18	14:11:18	14:11:36	14:11:36		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00	00:00:00	00:00:17	00:00:22
61	14:11:36	14:11:36	14:11:36	14:11:36	14:11:36	14:11:36			14:11:36	14:11:36	14:11:36	14:11:36	14:11:41	14:11:41	14:11:41	14:11:41	14:11:41	14:11:41			14:11:50	14:11:50		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:08	00:00:14
62	14:11:50	14:11:50	14:11:51	14:11:51	14:11:51	14:11:51			14:11:51	14:11:51	14:11:51	14:11:51	14:11:56	14:11:56	14:11:56	14:11:56	14:11:56	14:11:56			14:12:00	14:12:00		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:03	00:00:09
63	14:12:00	14:12:00	14:12:00	14:12:00	14:12:00	14:12:00			14:12:00	14:12:00	14:12:00	14:12:00	14:12:05	14:12:05	14:12:05	14:12:05	14:12:05	14:12:05			14:12:07	14:12:07		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:07
64	14:12:08	14:12:08	14:12:08	14:12:08	14:12:08	14:12:08			14:12:08	14:12:08	14:12:08	14:12:08	14:12:13	14:12:13	14:12:13	14:12:13	14:12:13	14:12:13			14:12:17	14:12:17		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:03	00:00:09
65	14:12:17	14:12:17	14:12:17	14:12:17	14:12:17	14:12:17			14:12:17	14:12:17	14:12:18	14:12:18	14:12:23	14:12:23	14:12:23	14:12:23	14:12:23	14:12:23			14:12:28	14:12:28		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:04	00:00:10
66	14:12:28	14:12:28	14:12:28	14:12:28	14:12:28	14:12:28			14:12:28	14:12:28	14:12:29	14:12:29	14:12:34	14:12:34	14:12:34	14:12:34	14:12:34	14:12:34			14:12:39	14:12:39		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:05	00:00:11
67	14:12:39	14:12:39	14:12:40	14:12:40	14:12:40	14:12:40			14:12:40	14:12:40	14:12:40	14:12:40	14:12:45	14:12:45	14:12:45	14:12:45	14:12:45	14:12:45			14:12:49	14:12:49		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:04	00:00:09
68	14:12:49	14:12:49	14:12:49	14:12:49	14:12:49	14:12:49			14:12:49	14:12:49	14:12:49	14:12:49	14:12:55	14:12:55	14:12:55	14:12:55	14:12:55	14:12:55			14:13:00	14:13:00		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:05	00:00:11
69	14:13:00	14:13:00	14:13:01	14:13:01	14:13:01	14:13:01			14:13:01	14:13:01	14:13:01	14:13:01	14:13:06	14:13:06	14:13:06	14:13:06	14:13:06	14:13:06			14:13:09	14:13:09		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:03	00:00:08
70	14:13:09	14:13:09	14:13:10	14:13:10	14:13:10	14:13:10			14:13:10	14:13:10	14:13:10	14:13:10	14:13:14	14:13:14	14:13:14	14:13:14	14:13:14	14:13:14	14:13:14	14:13:14	14:13:20	14:13:20		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00	00:00:00	00:00:05	00:00:10
71	14:13:20	14:13:20	14:13:21	14:13:21	14:13:21	14:13:21			14:13:21	14:13:21	14:13:21	14:13:21	14:13:25	14:13:25	14:13:25	14:13:25	14:13:25	14:13:25			14:13:29	14:13:29		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:03	00:00:08
72	14:13:29	14:13:29	14:13:29	14:13:29	14:13:29	14:13:29			14:13:29	14:13:29	14:13:29	14:13:29	14:13:35	14:13:35	14:13:35	14:13:35	14:13:35	14:13:35			14:13:42	14:13:42		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:07	00:00:13
73	14:13:43	14:13:43	14:13:43	14:13:43	14:13:43	14:13:43			14:13:43	14:13:43	14:13:43	14:13:43	14:13:48	14:13:48	14:13:48	14:13:48	14:13:48	14:13:48			14:13:52	14:13:52		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:04	00:00:09
74	14:13:52	14:13:52	14:13:53	14:13:53	14:13:53	14:13:53			14:13:53	14:13:53	14:13:53	14:13:53	14:13:58	14:13:58	14:13:58	14:13:58	14:13:58	14:13:58			14:14:01	14:14:01		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:02	00:00:08
75	14:14:01	14:14:01	14:14:02	14:14:02	14:14:02	14:14:02			14:14:02	14:14:02	14:14:02	14:14:02	14:14:06	14:14:06	14:14:06	14:14:06	14:14:06	14:14:06			14:14:11	14:14:11		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:04	00:00:09
76	14:14:11	14:14:11	14:14:11	14:14:11	14:14:11	14:14:11			14:14:11	14:14:11	14:14:11	14:14:11	14:14:16	14:14:16	14:14:16	14:14:16	14:14:16	14:14:16			14:14:26	14:14:26		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:09	00:00:15
77	14:14:26	14:14:26	14:14:27	14:14:27	14:14:27	14:14:27			14:14:27	14:14:27	14:14:27	14:14:27	14:14:31	14:14:31	14:14:31	14:14:31	14:14:31	14:14:31			14:14:36	14:14:36		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:05	00:00:10
78	14:14:36	14:14:36	14:14:37	14:14:37	14:14:37	14:14:37			14:14:37	14:14:37	14:14:37	14:14:37	14:14:44	14:14:44	14:14:44	14:14:44	14:14:44	14:14:44			14:14:48	14:14:48		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:04	00:00:12
79	14:14:48	14:14:48	14:14:49	14:14:49	14:14:49	14:14:49			14:14:49	14:14:49	14:14:49	14:14:49	14:14:56	14:14:56	14:14:56	14:14:56	14:14:56	14:14:56			14:15:00	14:15:00		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:04	00:00:11
