Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	14:00:13	14:00:13	14:00:13			14:00:13	14:00:13	14:00:13	14:00:13	14:00:13	14:00:14	14:00:14	14:00:25	14:00:25	14:00:25	14:00:25	14:00:25	14:00:25			14:00:43	14:00:43		00:00:00		00:00:00	00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:18	00:00:29
1	14:00:43	14:00:43	14:00:44	14:00:44	14:00:44	14:00:44	14:00:44	14:00:44	14:00:44	14:00:44	14:00:44	14:00:44	14:00:49	14:00:49	14:00:49	14:00:49	14:00:49	14:00:49			14:00:53	14:00:53		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:04	00:00:09
2	14:00:53	14:00:53	14:00:54	14:00:54	14:00:54	14:00:54			14:00:54	14:00:54	14:00:54	14:00:54	14:01:00	14:01:00	14:01:00	14:01:00	14:01:00	14:01:00			14:01:02	14:01:02		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:01	00:00:08
3	14:01:02	14:01:02	14:01:03	14:01:03	14:01:03	14:01:03			14:01:03	14:01:03	14:01:03	14:01:03	14:01:08	14:01:08	14:01:08	14:01:08	14:01:08	14:01:08			14:01:13	14:01:13		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:05	00:00:11
4	14:01:14	14:01:14	14:01:14	14:01:14	14:01:14	14:01:14			14:01:14	14:01:14	14:01:14	14:01:14	14:01:19	14:01:19	14:01:19	14:01:19	14:01:19	14:01:19			14:01:22	14:01:22		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:03	00:00:08
5	14:01:22	14:01:22	14:01:23	14:01:23	14:01:23	14:01:23			14:01:23	14:01:23	14:01:23	14:01:23	14:01:30	14:01:30	14:01:30	14:01:30	14:01:30	14:01:30			14:01:34	14:01:34		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:03	00:00:11
6	14:01:34	14:01:34	14:01:34	14:01:34	14:01:34	14:01:34			14:01:34	14:01:34	14:01:34	14:01:34	14:01:39	14:01:39	14:01:39	14:01:39	14:01:39	14:01:39			14:01:45	14:01:45		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:06	00:00:11
7	14:01:46	14:01:46	14:01:46	14:01:46	14:01:46	14:01:46			14:01:46	14:01:46	14:01:46	14:01:46	14:01:51	14:01:51	14:01:51	14:01:51	14:01:51	14:01:51			14:01:53	14:01:53		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:07
8	14:01:53	14:01:53	14:01:53	14:01:53	14:01:53	14:01:53			14:01:53	14:01:53	14:01:53	14:01:53	14:01:58	14:01:58	14:01:58	14:01:58	14:01:58	14:01:58			14:02:03	14:02:03		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:04	00:00:09
9	14:02:03	14:02:03	14:02:03	14:02:03	14:02:03	14:02:03			14:02:03	14:02:03	14:02:03	14:02:03	14:02:08	14:02:08	14:02:08	14:02:08	14:02:08	14:02:08			14:02:11	14:02:11		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:03	00:00:08
10	14:02:11	14:02:11	14:02:12	14:02:12	14:02:12	14:02:12			14:02:12	14:02:12	14:02:12	14:02:12	14:02:16	14:02:16	14:02:16	14:02:16	14:02:16	14:02:16	14:02:16	14:02:16	14:02:25	14:02:25		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00	00:00:00	00:00:08	00:00:13
11	14:02:25	14:02:25	14:02:26	14:02:26	14:02:26	14:02:26			14:02:26	14:02:26	14:02:26	14:02:26	14:02:30	14:02:30	14:02:30	14:02:30	14:02:30	14:02:30			14:02:32	14:02:32		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:07
12	14:02:33	14:02:33	14:02:33	14:02:33	14:02:33	14:02:33			14:02:33	14:02:33	14:02:33	14:02:33	14:02:38	14:02:38	14:02:38	14:02:38	14:02:38	14:02:38			14:02:42	14:02:42		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:04	00:00:09
13	14:02:42	14:02:42	14:02:42	14:02:42	14:02:42	14:02:42			14:02:42	14:02:42	14:02:43	14:02:43	14:02:47	14:02:47	14:02:47	14:02:47	14:02:47	14:02:47			14:02:53	14:02:53		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:06	00:00:11
14	14:02:53	14:02:53	14:02:54	14:02:54	14:02:54	14:02:54			14:02:54	14:02:54	14:02:54	14:02:54	14:02:58	14:02:58	14:02:58	14:02:58	14:02:58	14:02:58			14:03:01	14:03:01		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:03	00:00:08
