pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
e---e	36	43	88	120	120	97	90	79	65	64	62	49	431
e---h	159	104	127	160	182	161	138	136	136	122	110	104	863
e---pt interaction	5174	2269	462	272	320	141	108	65	40	40	27	25	160
e---s	32	17	31	42	39	38	44	40	31	28	26	33	225
e---w	73	81	144	158	155	160	184	119	140	105	84	95	802
h---e	55	90	174	224	281	228	245	196	247	157	156	149	1372
h---h	81	171	328	287	268	287	258	210	206	126	130	128	1080
h---pt interaction	9729	4803	568	642	636	388	282	224	130	127	82	81	544
h---s	37	30	55	60	75	62	65	62	78	53	52	52	457
h---w	115	143	279	351	374	399	384	300	314	216	254	239	2128
pt interaction---e	4608	2117	703	457	385	201	118	81	47	45	35	23	187
pt interaction---h	8381	4133	744	744	750	473	336	279	130	118	99	98	600
pt interaction---pt interaction	41577	30672	20610	9395	3101	729	348	108	47	39	43	40	270
pt interaction---s	4125	1881	496	382	298	149	104	61	28	38	29	27	145
pt interaction---w	9761	4222	1249	896	753	422	226	139	73	82	61	47	381
s---e	5	6	18	17	28	16	25	10	14	12	13	19	75
s---h	215	130	156	158	186	167	160	137	157	114	105	103	1013
s---pt interaction	4154	1628	313	250	217	95	65	41	19	26	33	20	77
s---s	22	9	50	38	42	54	48	53	47	35	34	38	268
s---w	27	27	61	60	59	57	52	55	48	40	27	27	305
w---e	35	70	114	124	137	135	111	94	109	79	71	84	587
w---h	345	234	313	341	357	340	335	320	310	225	254	193	2190
w---pt interaction	10460	4310	820	603	602	303	197	107	58	69	52	39	293
w---s	42	39	84	69	100	127	104	61	99	76	44	61	492
w---w	113	109	249	271	289	286	259	197	203	201	171	159	1292

average trip duration: 1125.6226036253825 seconds = 00:18:45
