pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
e---e	36	42	85	119	119	94	89	75	61	63	61	47	415
e---h	158	104	127	157	182	160	139	137	139	122	107	105	850
e---pt interaction	5253	2284	459	281	319	142	117	72	43	42	27	26	163
e---s	32	17	32	43	37	37	44	39	31	27	26	33	216
e---w	72	81	141	150	152	161	184	122	137	102	84	94	764
h---e	55	90	170	219	278	229	239	193	246	157	155	147	1352
h---h	81	171	324	286	266	286	258	208	204	131	128	129	1060
h---pt interaction	9803	4806	574	660	642	388	289	229	134	128	85	85	566
h---s	37	30	55	60	74	65	62	62	77	52	51	53	451
h---w	115	143	277	351	370	395	383	302	318	216	253	237	2066
pt interaction---e	4689	2143	704	457	393	185	121	78	47	44	36	21	190
pt interaction---h	8503	4169	774	759	753	476	343	287	131	116	102	103	629
pt interaction---pt interaction	43019	31289	20836	9466	3069	717	339	98	63	42	44	50	281
pt interaction---s	4192	1892	493	376	295	145	103	58	28	39	32	27	151
pt interaction---w	9913	4273	1246	891	748	414	235	149	82	86	70	51	401
s---e	5	6	18	18	27	17	24	10	11	12	13	19	69
s---h	213	130	156	157	186	167	158	133	153	112	107	101	988
s---pt interaction	4215	1654	327	250	218	98	70	42	22	28	32	22	80
s---s	22	9	51	37	42	53	48	53	44	34	35	38	252
s---w	27	27	62	60	61	55	50	53	45	38	26	27	277
w---e	36	69	114	124	139	139	111	92	108	81	70	80	579
w---h	345	233	310	341	354	335	336	318	307	223	251	191	2108
w---pt interaction	10639	4357	816	592	599	300	201	115	65	66	53	46	313
w---s	41	39	85	69	99	127	103	61	96	75	43	63	475
w---w	113	109	248	264	288	286	254	196	197	200	174	157	1240

average trip duration: 1097.3776820459116 seconds = 00:18:17
