pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
e---e	36	43	84	119	118	90	88	81	65	62	62	47	429
e---h	159	104	126	160	183	160	137	136	136	124	107	102	840
e---pt interaction	5213	2286	454	291	321	142	114	71	40	42	27	25	160
e---s	32	17	31	44	38	37	44	39	30	29	26	34	223
e---w	73	82	142	156	153	161	181	119	140	104	83	96	784
h---e	55	90	169	224	279	226	241	194	247	158	153	146	1361
h---h	81	171	327	288	267	289	254	208	208	129	127	130	1061
h---pt interaction	9769	4812	582	633	664	388	294	217	134	128	86	84	560
h---s	37	30	55	59	75	65	64	62	78	51	53	50	458
h---w	115	143	280	351	373	390	377	304	317	220	253	236	2075
pt interaction---e	4683	2137	705	462	383	193	116	81	47	43	38	22	188
pt interaction---h	8482	4154	751	748	774	482	346	281	133	119	103	106	616
pt interaction---pt interaction	42502	31025	20853	9466	3056	719	345	117	67	55	50	45	306
pt interaction---s	4175	1893	487	378	292	147	101	57	28	41	31	26	147
pt interaction---w	9891	4245	1241	899	753	428	233	146	79	82	68	49	394
s---e	5	6	18	18	27	17	24	10	14	12	14	17	73
s---h	214	130	158	156	188	167	160	136	154	113	107	101	982
s---pt interaction	4198	1643	329	267	206	104	67	40	23	27	32	19	78
s---s	22	9	50	37	43	52	46	53	47	33	34	37	259
s---w	27	27	62	59	59	53	52	56	46	40	29	26	278
w---e	36	70	112	120	137	134	109	93	107	81	69	82	569
w---h	345	235	312	338	358	340	334	324	309	221	256	193	2124
w---pt interaction	10597	4374	818	597	600	302	203	109	62	69	56	44	298
w---s	42	37	82	67	101	127	103	61	96	76	43	63	481
w---w	112	109	248	268	288	284	254	196	203	193	173	158	1257

average trip duration: 1105.919234535077 seconds = 00:18:25
