pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
e---e	36	43	88	120	120	97	90	80	67	65	62	48	470
e---h	159	103	127	160	182	161	141	138	139	124	109	105	928
e---pt interaction	5089	2215	427	262	296	133	102	63	35	38	25	22	152
e---s	32	17	32	44	39	38	45	39	32	29	26	35	241
e---w	73	81	145	159	155	165	183	120	144	106	84	98	852
h---e	55	90	175	224	281	233	246	196	249	158	156	151	1451
h---h	81	171	327	288	268	291	259	211	210	133	129	130	1105
h---pt interaction	9644	4747	533	613	620	369	273	209	120	124	81	79	532
h---s	37	30	55	60	74	64	65	62	78	54	53	53	484
h---w	115	144	280	351	375	399	388	303	325	222	257	240	2224
pt interaction---e	4503	2087	687	438	382	197	108	72	45	42	31	20	171
pt interaction---h	8239	4090	712	699	730	457	321	268	118	111	94	91	560
pt interaction---pt interaction	39832	29561	20150	9126	2984	646	289	59	25	18	15	5	135
pt interaction---s	4070	1863	478	369	290	145	92	53	27	39	28	25	133
pt interaction---w	9580	4148	1214	878	735	407	216	129	74	80	60	42	358
s---e	5	6	18	18	28	17	25	10	13	12	14	19	78
s---h	213	130	156	158	187	169	160	136	157	115	105	105	1065
s---pt interaction	4093	1603	305	236	196	88	60	38	19	26	31	18	72
s---s	22	9	49	38	42	53	48	53	48	34	34	39	282
s---w	27	27	62	61	61	57	54	56	48	40	28	27	324
w---e	36	70	114	122	138	138	114	96	108	81	72	89	628
w---h	341	233	313	341	359	343	339	322	314	229	259	197	2308
w---pt interaction	10306	4228	782	567	546	280	178	95	56	64	51	39	278
w---s	42	38	86	68	101	129	104	61	99	76	44	66	529
w---w	112	111	249	271	289	286	262	199	208	201	174	162	1375

average trip duration: 1168.984971235931 seconds = 00:19:28
